Tenant ID,School NAme,School Code,District,School Type,Location TYpe
58,DHENKA HIGH SCHOOL,SCH694750,HATADIHI,,
58,HATADIHI HIGH SCHOOL,SCH715317,HATADIHI,,
58,"G.C.GIRLS HIGH SCHOOL, ORALI",SCH597929,HATADIHI,,
58,KAPILESWAR HIGH SCHOOL,SCH741473,HATADIHI,,
58,BARAHI HIGH SCHOOL,SCH390513,HATADIHI,,
58,MUGUPUR HIGH SCHOOL,SCH669130,HATADIHI,,
58,MALDA HIGH SCHOOL,SCH676899,JHUMPURA,,
58,A.B.C.D. HIGH SCHOOL CHHELIEANAL,SCH836610,JHUMPURA,,
58,M.G.HIGH SCHOOL BALABHADRAPUR,SCH613000,JHUMPURA,,
58,P.GIRLS HIGH SCHOOL CHAUTHIA,SCH905370,JHUMPURA,,
58,S.G.HIGH SCHOOL SARASINGA,SCH894964,JHUMPURA,,
58,RASABATALA HIGH SCHOOL,SCH352263,JHUMPURA,,
58,BADANEULI HIGH SCHOOL,SCH488355,JHUMPURA,,
58,BALIBANDHA HIGH SCHOOL,SCH610291,JHUMPURA,,
58,B.J.S. HIGH SCHOOL ASANPAT,SCH223237,JHUMPURA,,
58,KAUNRIKALA HIGH SCHOOL,SCH716641,JHUMPURA,,
58,P.S. GIRLS HIGH SCHOOL JHUMPURA,SCH588435,JHUMPURA,,
58,"GOVT. GIRLS HIGH SCHOOL(SSD), ASANPAT",SCH744595,JHUMPURA,,
58,GUMURA HIGH SCHOOL,SCH944092,JHUMPURA,,
58,DHABALESWAR HIGH SCHOOL,SCH350620,JHUMPURA,,
58,JHUMPURA HIGH SCHOOL,SCH508397,JHUMPURA,,
58,PANCHAYAT HIGH SCHOOL NAHABEDA,SCH182019,JHUMPURA,,
58,BAMEBARI HIGH SCHOOL,SCH501289,JODA,,
58,KIRIBURU HIGH SCHOOL,SCH143668,JODA,,
58,GOVT.  DEPTT GIRLS HIGH SCHOOL(SSD),SCH155630,JODA,,
58,K.B.HIGH SCHOOL BHUSUGAN,SCH997792,JODA,,
58,DHABALESWAR HIGH SCHOOL,SCH384254,JODA,,
58,SHREE JAGANNATH HIGH SCHOOL,SCH456453,JODA,,
58,JODA VALLEY GIRLS HIGH SCHOOL,SCH588479,JODA MPL,,
58,JODA HIGH SCHOOL,SCH230247,JODA MPL,,
58,JODA WEST HINDI HIGH SCHOOL,SCH611602,JODA MPL,,
58,BANEIKALA HIGH SCHOOL,SCH752106,JODA MPL,,
58,ADIVASI HIGH SCHOOL,SCH819692,KEONJHAR,,
58,"GOVT.U.G. HIGH SCHOOL,JANARDANPUR",SCH741115,KEONJHAR,,
58,RAISUAN HIGH SCHOOL,SCH947629,KEONJHAR,,
58,P.S.HIGH SCHOOL,SCH804403,KEONJHAR,,
58,G.P.HIGH SCHOOL,SCH290584,KEONJHAR,,
58,KATHABARI HIGH SCHOOL,SCH489044,KEONJHAR,,
58,CHANDRASEKHAR HIGH SCHOOL,SCH809117,KEONJHAR,,
58,GOVT. GIRLS HIGH SCHOOL(SSD),SCH638126,KEONJHAR,,
58,L.N.HIGH SCHOOL,SCH615084,KEONJHAR,,
58,M.P.HIGH SCHOOL,SCH579094,KEONJHAR,,
58,J.M.HIGH SCHOOL,SCH238712,KEONJHAR,,
58,PRAGATI HIGH SCHOOL,SCH973200,KEONJHAR,,
58,NARANPUR GOVT H.S,SCH136584,KEONJHAR,,
58,"GOVT. HIGH SCHOOL(SSD),JADIPADA",SCH208293,KEONJHAR,,
58,JANATA HIGH SCHOOL,SCH165450,KEONJHAR,,
58,S.N.HIGH SCHOOL,SCH533722,KEONJHAR,,
58,S.B.HIGH SCHOOL,SCH554619,KEONJHAR,,
58,M.L.HIGH SCHOOL,SCH926983,KEONJHAR,,
58,MUNICIPAL HIGH SCHOOL,SCH425474,KEONJHAR MPL,,
58,"TOWN GIRLS HIGH SCHOOL, KEONJHAR",SCH634425,KEONJHAR MPL,,
58,MOCHIBANDHA HIGH SCHOOL,SCH505296,KEONJHAR MPL,,
58,"GOVT. GIRLS HIGH SCHOOL, KEONJHAR",SCH431756,KEONJHAR MPL,,
58,"D.N.HIGH SCHOOL, KEONJHAR",SCH614564,KEONJHAR MPL,,
